,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/load/0,/atigpu/3/temperature/0,/atigpu/3/clock/0,/atigpu/3/clock/1,/atigpu/3/load/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Core","Temperature","Used Space"
09/13/2021 17:56:28,70.3125,65.625,57.8125,65.625,64.84375,2295.69263,2295.69263,2295.69263,2295.69263,199.625443,68.3969,4.759304,2.19905853,0,0,20,0,43.0000038,403.85,867.1,12,44,44.2954369
09/13/2021 17:56:29,70.3125,68.75,64.0625,73.4375,69.140625,2295.691,2295.691,2295.691,2295.691,199.62529,68.31653,4.7537117,2.20465088,0,0,20,0,43.0000038,402.11,836.99,12,44,44.2954369
09/13/2021 17:56:30,65.625,78.125,73.4375,75,73.046875,2295.693,2295.693,2295.693,2295.693,199.625488,68.43028,4.761627,2.19673538,0,0,20,0,43.0000038,400.949982,868.899963,12,44,44.2954369
09/13/2021 17:56:31,64.0625,57.8125,59.375,65.625,61.71875,2295.69043,2295.69043,2295.69043,2295.69043,199.625259,68.41559,4.760605,2.19775772,0,0,20,0,43.0000038,401.41,840.74,12,44,44.2954369
09/13/2021 17:56:32,73.4375,82.8125,84.375,81.25,80.46875,1796.62756,2295.691,2295.691,1796.62756,199.62529,68.49158,4.765892,2.19247055,0,0,20,0,43.0000038,399.49,897.81,11,44,44.2974472
09/13/2021 17:56:33,78.125,78.125,78.125,82.8125,79.296875,2295.69141,2295.69141,2295.69141,2295.69141,199.625336,68.53965,4.76923752,2.189125,0,0,20,0,43.0000038,399.02,917.389954,11,44,44.2974472
09/13/2021 17:56:34,65.625,64.0625,70.3125,71.875,67.96875,2295.69238,2295.69238,2295.69238,2295.69238,199.625412,68.53094,4.768631,2.1897316,0,0,20,0,43.0000038,401.199982,889.79,12,44,44.2974472
09/13/2021 17:56:35,62.5,70.3125,68.75,64.0625,66.40625,2295.69116,2295.69116,2295.69116,2295.69116,199.6253,68.68816,4.77957153,2.178791,0,0,20,0,43.0000038,398.43,883.31,12,44,44.2974472
09/13/2021 17:56:36,67.1875,57.8125,64.0625,65.625,63.671875,2295.693,2295.693,2295.693,2295.693,199.625488,68.56553,4.771038,2.18732452,0,0,20,0,43.0000038,399.52,874.339966,12,44,44.2974472
09/13/2021 17:56:37,67.1875,71.875,56.25,75,67.578125,2295.69116,2295.69116,2295.69116,2295.69116,199.62532,68.60363,4.77368927,2.18467331,0,0,20,0,43.0000038,396.819977,906.699951,11,44,44.2974472
09/13/2021 17:56:38,56.25,60.9375,65.625,68.75,62.890625,2295.69141,2295.69141,2295.69141,2295.69141,199.625351,68.62451,4.77514267,2.18322,0,0,20,0,43.0000038,403.88,877.339966,12,44,44.2974472
09/13/2021 17:56:39,79.6875,75,79.6875,81.25,78.90625,2295.69,2295.69,2295.69,2295.69,199.625214,68.55352,4.77020264,2.18816,0,0,20,0,43.0000038,403.639984,862.17,12,44,44.2974472
09/13/2021 17:56:40,64.0625,64.0625,62.5,54.6875,61.328125,2295.69165,2295.69165,2295.69165,2295.69165,199.625366,68.59568,4.773136,2.18522644,0,0,20,0,43.0000038,399.66,894.87,12,44,44.2974472
09/13/2021 17:56:41,70.3125,71.875,78.125,68.75,72.265625,2295.693,2295.693,2295.693,2295.693,199.625488,68.6347656,4.775856,2.18250656,0,0,20,0,43.0000038,398.069977,916.639954,11,44,44.2974472
09/13/2021 17:56:42,84.375,78.125,76.5625,84.375,80.859375,1796.628,1796.628,1796.628,1796.628,199.625336,68.75099,4.783943,2.1744194,0,0,20,0,43.0000038,399.699982,927.01,11,44,44.2974472
09/13/2021 17:56:43,90.625,93.75,92.1875,92.1875,92.1875,2295.69043,2295.69043,2295.69043,2295.69043,199.625244,68.6539,4.77718735,2.18117523,0,0,20,0,43.0000038,400.84,930.769958,11,44,44.2974472
09/13/2021 17:56:44,78.125,75,78.125,81.25,78.125,2295.69287,2295.69287,2295.69287,2295.69287,199.625458,68.7966,4.787117,2.17124557,0,0,20,0,43.0000038,398.319977,925.6,11,44,44.2974472
09/13/2021 17:56:45,76.5625,76.5625,73.4375,79.6875,76.5625,2295.69165,2295.69165,2295.69165,2295.69165,199.625366,68.79068,4.786705,2.17165756,0,0,20,0,43.0000038,398.139984,901.51,11,44,44.2974472
09/13/2021 17:56:46,73.4375,78.125,75,65.625,73.046875,2295.69141,2295.69141,2295.69141,2295.69141,199.625351,68.73975,4.783161,2.17520142,0,0,20,0,43.0000038,405.47998,891.579956,12,44,44.2974472
09/13/2021 17:56:47,57.8125,64.0625,60.9375,65.625,62.109375,2295.68823,2295.68823,2295.68823,2295.68823,199.625061,68.7553253,4.78424454,2.174118,0,0,20,0,43.0000038,399.509979,906.3,12,44,44.2974472
09/13/2021 17:56:48,64.0625,51.5625,67.1875,65.625,62.109375,2295.69482,2295.69482,2295.69482,2295.69482,199.625641,68.87385,4.792492,2.16587067,0,0,20,0,43.0000038,401.41,876.94,12,44,44.2974472
09/13/2021 17:56:49,51.5625,54.6875,57.8125,65.625,57.421875,2295.69043,2295.69043,2295.69043,2295.69043,199.625259,69.0848541,4.80717468,2.151188,0,0,20,0,43.0000038,399.52,869.29,12,44,44.2974472
09/13/2021 17:56:50,58.4615364,60.0000038,64.61538,61.53846,61.15384,2295.69019,2295.69019,2295.69019,2295.69019,199.625229,68.62676,4.775299,2.18306351,0,0,20,0,43.0000038,401.88,870.019958,12,44,44.2974472
